id,title,dimensions,medium,price,detail_imgs,section,subsection,file
0,Silver triptych 1,9 x 12in,Oil on Paper,0,2,paint,2026,silver-3_SQKZ_riley-hoff.avif
1,Silver triptych 2,9 x 12in,Oil on Paper,0,1,paint,2026,silver-1_SQKZ_riley-hoff.avif
2,Silver triptych 3,9 x 12in,Oil on Paper,0,1,paint,2026,silver-2_SQKZ_riley-hoff.avif
3,Maia in Sicily,9 x 12in,Oil on Board,0,2,paint,2026,maia-sicily_SQKZ_riley-hoff.avif
4,Sitting,34 x 30in,Oil on Canvas,350,2,paint,2026,sitting_SQKZ_riley-hoff.avif
5,Rouge,30 x 40in,Oil on Canvas,600,4,paint,2024,rouge_SQKZ_riley-hoff.webp
6,Fuji,8 x 10in,Oil on Board,150,3,paint,2026,fuji_SQKZ_riley-hoff.avif
7,Springtime,9 x 12in,Oil on Board,200,3,paint,2024,springtime_SQKZ_riley-hoff.webp
8,R,18 x 24in,Oil on Canvas,300,4,paint,2024,r_SQKZ_riley-hoff.webp
9,Reach,9 x 12in,Oil on Board,150,2,paint,2026,reach_SQKZ_riley-hoff.avif
10,Petit Palais,8 x 16in,Oil on Canvas,250,2,paint,2024,ml-paris_SQKZ_Riley-Hoff.avif
11,Thanksgiving,9 x 12in,Oil on Paper,1111,3,paint,2024,thanksgiving_SQKZ_riley-hoff.webp
12,Untitled,9 x 12in,Oil on Board,1111,1,paint,2024,ballet_SQKZ_riley-hoff.webp
13,Bernadett,16 x 20in,Oil on Canvas,1111,4,paint,2022,bernadett_SQKZ_Riley-Hoff.jpg
14,Holly Grove,9 x 12in,Oil on Board,1111,1,paint,2024,holly-grove_SQKZ_riley-hoff.webp
15,Spider Plant,9 x 12in,Oil on Board,200,3,paint,2024,spider-plant_SQKZ_riley-hoff.webp
16,Old Westbury,9 x 12in,Oil on Board,250,2,paint,2024,westbury_SQKZ_riley-hoff.jpg
17,Bog,9 x 12in,Oil on Paper,100,1,paint,2026,bog_SQKZ_riley-hoff.avif
18,Photobooth,9 x 12in,Oil on Board,0,1,paint,2024,photobooth_SQKZ_riley-hoff.jpg
19,Cohasett - Untitled,9 x 12in,Oil on Board,1111,1,paint,2024,cohasett-impression_SQKZ_riley-hoff.webp
20,Memories,16 x 20in,Oil on Canvas,1111,2,paint,paint,memories_SQKZ_riley-hoff.jpg
21,Maia,9 x 12in,Oil on Board,0,3,paint,2024,maia-3_SQKZ_riley-hoff.webp
22,Cowboy Study,9 x 12in,Oil on Paper,1111,1,paint,2024,cowboy_SQKZ_riley-hoff.jpg
23,Some Clouds,5.5 x 12in,Oil on Board,0,1,paint,2024,clouds_SQKZ_riley-hoff.webp
24,Ioborda,9 x 12in,Oil on Canvas,1111,2,paint,2022,Ioborda_SQKZ_Riley-Hoff.jpg
25,Untitled,9 x 7in,Oil on Board,0,3,paint,2024,maia-back_SQKZ_riley-hoff.webp
